Month,SO2,NO2,CO,NH3,Formaldehyde,Phenol,I_SO2,I_NO2,I_CO,I_NH3,I_Phenol,KIZA,Pollution_Level
1,0.08,0.02,4.0,0.01,0.005,0.004,1.5999999999999999,0.40612619817811774,23.00122639425243,0.3535533905932738,0.5443310539518174,25.90523703697564,Очень высокое
2,0.1,0.03,4.0,0.03,0.005,0.004,2.0,0.6879860659818012,23.00122639425243,1.8371173070873836,0.5443310539518174,28.07066082127343,Очень высокое
3,0.07,0.01,3.5,0.02,0.006,0.01,1.4000000000000001,0.16493848884661177,20.533256752246025,1.0,2.151657414559676,25.24985265565231,Очень высокое
4,0.04,0.02,2.5,0.02,0.004,0.01,0.7999999999999999,0.40612619817811774,15.42584656800024,1.0,2.151657414559676,19.783630180738033,Очень высокое
5,0.04,0.03,3.0,0.05,0.01,0.004,0.7999999999999999,0.6879860659818012,18.01163205414502,3.952847075210474,0.5443310539518174,23.996796249289115,Очень высокое
6,0.03,0.04,4.5,0.04,0.015,0.008,0.6,1.0,25.423224745340875,2.8284271247461903,1.5396007178390019,31.39125258792607,Очень высокое
7,0.05,0.06,2.5,0.02,0.015,0.016,1.0,1.6940204031852832,15.42584656800024,1.0,4.354648431614539,23.474515402800062,Очень высокое
8,0.03,0.05,4.5,0.05,0.02,0.016,0.6,1.336543249988985,25.423224745340875,3.952847075210474,4.354648431614539,35.667263502154874,Очень высокое
9,0.05,0.04,3.0,0.06,0.008,0.006,1.0,1.0,18.01163205414502,5.196152422706632,1.0,26.207784476851653,Очень высокое
10,0.06,0.02,2.0,0.03,0.012,0.004,1.2,0.40612619817811774,12.760729313591826,1.8371173070873836,0.5443310539518174,16.748303872809146,Очень высокое
11,0.05,0.03,4.5,0.02,0.01,0.007,1.0,0.6879860659818012,25.423224745340875,1.0,1.2601440246904174,29.371354836013094,Очень высокое
12,0.06,0.01,4.0,0.01,0.01,0.007,1.2,0.16493848884661177,23.00122639425243,0.3535533905932738,1.2601440246904174,25.979862298382734,Очень высокое
